86 4
k power error
4.25791e-02 2.35119e+04 4.10136e+03
4.75743e-02 1.77536e+04 3.09059e+03
5.25712e-02 1.30860e+04 2.44697e+03
5.75864e-02 1.26889e+04 1.98679e+03
6.25734e-02 1.01354e+04 1.80382e+03
6.75683e-02 1.15381e+04 1.46292e+03
7.25645e-02 1.15090e+04 1.12770e+03
7.75554e-02 8.33338e+03 1.15734e+03
8.25464e-02 8.42662e+03 1.00964e+03
8.75343e-02 8.06667e+03 9.57467e+02
9.25356e-02 6.78798e+03 8.78940e+02
9.75405e-02 6.03489e+03 7.17471e+02
1.02544e-01 5.58036e+03 5.88256e+02
1.07540e-01 5.79464e+03 6.44790e+02
1.12535e-01 5.27579e+03 5.67755e+02
1.17530e-01 4.25862e+03 5.21301e+02
1.22543e-01 3.94700e+03 3.86997e+02
1.27538e-01 3.72124e+03 4.06317e+02
1.32536e-01 4.07828e+03 3.84599e+02
1.37523e-01 3.64397e+03 3.55972e+02
1.42525e-01 3.30606e+03 3.42627e+02
1.47532e-01 3.24640e+03 3.13558e+02
1.52533e-01 3.04542e+03 2.79422e+02
1.57537e-01 2.91588e+03 2.42579e+02
1.62532e-01 2.81385e+03 2.47884e+02
1.67531e-01 2.58855e+03 2.40779e+02
1.72524e-01 2.39253e+03 2.07022e+02
1.77517e-01 2.12727e+03 1.85821e+02
1.82517e-01 2.25484e+03 1.92666e+02
1.87522e-01 2.01650e+03 1.84409e+02
1.92519e-01 1.80528e+03 1.70238e+02
1.97519e-01 1.55207e+03 1.62355e+02
2.02520e-01 1.46036e+03 1.66761e+02
2.07522e-01 1.46603e+03 1.58664e+02
2.12522e-01 1.34492e+03 1.38815e+02
2.17518e-01 1.36658e+03 1.48188e+02
2.22519e-01 1.06972e+03 1.28560e+02
2.27516e-01 9.42546e+02 1.34844e+02
2.32517e-01 9.81932e+02 1.23677e+02
2.37520e-01 9.14227e+02 1.31284e+02
2.42520e-01 8.89875e+02 1.14092e+02
2.47515e-01 8.18948e+02 1.19732e+02
2.52518e-01 6.65022e+02 9.84032e+01
2.57518e-01 6.11965e+02 8.52530e+01
2.62516e-01 6.91938e+02 1.13276e+02
2.67512e-01 5.80325e+02 9.32392e+01
2.72512e-01 4.10334e+02 8.62659e+01
2.77513e-01 3.57433e+02 9.08518e+01
2.82512e-01 3.26709e+02 7.89300e+01
2.87513e-01 2.28045e+02 7.52311e+01
2.92512e-01 2.69349e+02 8.49586e+01
2.97515e-01 2.34448e+02 9.09688e+01
3.02515e-01 1.28206e+02 9.40344e+01
3.07516e-01 3.80094e+01 8.85881e+01
3.12512e-01 4.69574e+01 6.98200e+01
3.17511e-01 1.23928e+02 6.76410e+01
3.22515e-01 1.71652e+01 6.95019e+01
3.27517e-01 4.19070e+01 6.19316e+01
3.32514e-01 1.02138e+02 6.44098e+01
3.37512e-01 1.94433e+01 6.49995e+01
3.42512e-01 -7.64338e+01 6.27279e+01
3.47513e-01 -4.85673e+01 5.81495e+01
3.52511e-01 -6.56210e+00 5.77489e+01
3.57509e-01 -1.16323e+02 5.86420e+01
3.62509e-01 -1.32876e+02 6.20641e+01
3.67510e-01 -1.52615e+02 6.13423e+01
3.72513e-01 -1.03314e+02 5.19728e+01
3.77514e-01 -1.42375e+02 5.27169e+01
3.82513e-01 -2.04592e+02 5.22162e+01
3.87509e-01 -1.78622e+02 5.25224e+01
3.92511e-01 -1.83345e+02 4.69544e+01
3.97511e-01 -2.32890e+02 5.02605e+01
4.02510e-01 -2.93056e+02 4.78356e+01
4.07508e-01 -2.24993e+02 4.20507e+01
4.12511e-01 -2.22354e+02 4.39277e+01
4.17514e-01 -2.90195e+02 4.36952e+01
4.22513e-01 -3.74508e+02 4.04995e+01
4.27512e-01 -2.47328e+02 4.27554e+01
4.32510e-01 -3.02971e+02 4.04968e+01
4.37511e-01 -3.45578e+02 4.00327e+01
4.42509e-01 -3.35670e+02 4.03871e+01
4.47507e-01 -3.76420e+02 4.46512e+01
2.26936e-02 -2.09733e+04 1.38214e+04
2.76670e-02 -1.14550e+04 8.65768e+03
3.26280e-02 5.47584e+03 7.43049e+03
3.75931e-02 8.48096e+03 5.08923e+03
4.25791e-02 7.42965e+03 4.04949e+03
